timestamp,open,high,low,close,volume
1672531200000,16500.0,16505.0,16495.0,16502.0,10.5
1672531260000,16502.0,16510.0,16500.0,16508.0,12.3
1672531320000,16508.0,16515.0,16505.0,16510.0,8.1
1672531380000,16510.0,16512.0,16500.0,16501.0,15.7
1672531440000,16501.0,16505.0,16490.0,16495.0,20.2
1672531500000,16495.0,16500.0,16492.0,16498.0,11.0
1672531560000,16498.0,16502.0,16497.0,16500.0,9.5
1672531620000,16500.0,16508.0,16499.0,16507.0,13.3
1672531680000,16507.0,16510.0,16505.0,16509.0,7.8
1672531740000,16509.0,16518.0,16508.0,16515.0,18.9
